Statie,Grupa,Intrebare,Raspuns Corect,Optiune 1,Optiune 2
Monumentul Ostașului Român,licu,În onoarea victimelor din ce război e ridicat monumentul?,Al Doilea Război Mondial,Primul Război Mondial,Războiul de Independență
Masca din fața Casei de cultură,explo,Pe cine reprezintă masca?,Constantin Brâncuși,Mircea Eliade,George Enescu
Statuia lui Emanuil Gojdu,explo,În ce țară s-a născut Emanuil Gojdu?,Monarhia Habsburgică,România,Austro-Ungaria
Statuia lui Emanuel Marton,explo,În ce an a fost sculptat bustul?,2018,,
Monumentul Eroilor Francezi,explo,Ce tipi de copaci sunt pe partea stângă cum te uiti la monument?,castani,nuci,stejari
Batrana locomotiva electrica -> pana cand a fost utilizata? 1994,explo,Până în ce an a fost utilizată locomotiva?,1994,,
Statuia lui Mihai Viteazu,licu,În ce an realizează Mihai Viteazu prima unire a Țărilor Române?,1600,,
Catedrala Episcopală Învierea Domnului,licu,În ce stil sunt făcute mozaicele?,bizantin,slavon,roman
Statuia cu Cruciatul,licu,Cum se numește arma soldatului templier?,spadă,sabie,iatagan
Statuia regelui Ladislau cel Sfănt,licu,"Unde s-a născut Ladislau I, Regele Ungariei?",Regatul Poloniei,Regatul Ungariei,Transilvania
Sinagoga Ortodoxă,licu,"Ce simbol puteți idenfitica pe vitralii, stâlpii de luminat și chiar și pe pavaj?",Steaua lui David,,
Troița cu Isus crucificat,explo,Cum se numește mănăstirea din spatele troiței?,Capucinilor,,
Biserica Mănăstirii Capucinilor (Sfânta Maria).,explo,Ce se află pe altarul la care se închină călugărul?,craniu,berbec,vițel
Biserica cu Lună,licu,Ce arată luna de pe fațada bisericii?,Fazele lunii,Luna calendaristică,Nimic. E doar de design.
Statuia Episcop Roman Ciorogariu,explo,Ce animale apar pe sceptru?,balauri,lei,vulturi
Statuia Episcop Demetriu Radu,explo,Care e confesiunea Episcopului?,catolic,lutheran,calvin
Statuia Iuliu Maniu,explo,Care e cea mai înaltă funcție în stat pe care a ocupat-o Iuliu Maniu?,Prim Ministru,Ministru de Externe,Secretar de Stat
Liceul Greco Catolic Iuliu Maniu,explo,Ce animal apare pe blazonul de pe liceu?,Miel,Taur,Leu
Catedrala Greco-Catolica Sfântul Nicolae,explo,Ce stat reprezintă steagul din mijloc?,Vatican,,
Palatul episcopiei Greco-Catolice,explo,Cine este reprezentat în coroana de pe blazon?,Isus și Maria,Îngerul Gabriel,Sfântul Ladislau
Statuia lui Ferdinand I,licu,Din ce familie imperială se trage Casa Regală a României?,Hohenzollern,Habsburg,Hohenstaufen 
Palatul și pasajul Vulturul Negru,licu,Câte guri de canal cu vulturul sunt în pasaj?,9,,
Sinagoga neologă Sión,licu,În ce limbă scrie pe fațada sinagogii?,ebraică,,
Statuia lui Mihai Eminescu,licu,În ce an s-a născut?,1850,,
Primaria Oradea,licu,Pe cine reprezintă Îngerul de pe stema Oradiei?,Arhanghelul Mihail,Gabriel,Biserica
Turnul primăriei,explo,Cate etaje are turnul?,4,,
Podul Sfântul Ladislau,explo,Cum se numește râul peste care vă aflați?,Crișul Repede,Crișul Negru,Someș
Grand Hotel Astoria,explo,Ce poet frecventa cafeneaua Astoria?,Ady Endre,,
Teatrul de stat,licu,Cele două statui din fața teatrului reprezintă pe cele două muze protectoare ale teatrului. Cum se numesc ele?,Melpomene și Thalia,Clio și Urania,Euterpe și Caliope
Statuia lui Szigligeti Ede,explo,Cum se numește cea mai cunoscută piesă de teatru pe care a scris-o?,Liliomfi,,
Statuia Reginei Maria,licu,În ce an a vizitat Regina Maria Oradea?,1919,,
Banca Ardeleana și Casa de Economie,explo,Ce an e scris pe blazonul de pe clădire?,1984,,
Holnaposok Statue - Membrii fondatori ai societății literare,licu,Cum se numește cel care stă în picioare?,Dutka Akos,Emod Tamas,Ady Endre
Biserica Catolică Sfânta Ana,explo,Cine a ridicat aripa sudică a clădirii?,Ferenc Rier,,
Statuia lui Aurel Lazar,licu,În realizarea a ce a fost implicat?,România Mare,Societatea Literară,Partidul Național Român
Palatul Moskovits,licu,În ce an a fost terminată construcția?,1905,,
Palatul Apollo,explo,Cum se numește strada care trece pe lângă palat spre Nord-Vest?,Mihai Eminescu,,
Statuia lui Rimanóczy Kálmán,explo,Ce ocupație avea?,arhitect,,
Palatul Justitiei,explo,O statuie de pe cladire ține o tăbliță pe care scrie ceva? Ce scrie? (traduceți în română),Lege,,
Statuia lui Ady Endre,explo,Unul din cei mai importanți poeti ai secolului XX. Cum s-a numit muza lui?,Léda,Julianna,Mária
Statuia lui Iosif Vulcan,explo,În ce an a fost construită casa din dreapta statuii?,1905,,
Mozaic citadin,explo,Ce scrie deasupra lui Adam și Eva?,"După întuneric, lumină","După frică, curaj","După război, victorie"
Statuia Lorántffy Zsuzsanna,explo,"Soție și mamă de principi ai Transilvaniei, a avut multe realizări în învățământ. În ce proiect a fost implicată?",Biblia de la Oradea,Legislația Țării Făgărașului,Răspândirea religiei catolice în Transilvania
Statuia lui Szacsvay Imre,explo,Ce animal se află pe statuie?,leu,,
Podul Intelectualilor,explo,Care a fost prima denumire a podului?,Podul Paralelor,Podul lui Traian,Podul de Fier